income,assist,mortgage,stonk,child,saving,RPP,relocate,bank_acct,credit_card,fin_diverse,fin_consol
NHHINC,HFIN_YN,HPRES_MORT,HDIV_YN,NHUNDER18,HINT_YN,NRPP,18498,12355,21203,37549,21203
1,2,2,2,0,0,0.846740051,1,0,0,1,0
0.634146341,2,2,2,0,0,0.846740051,0,0,0,1,0
0.414634146,2,1,2,0,0,0.846740051,0,0,0,0,0
0.097560976,2,0,2,0,0,0.846740051,0,0,0,0,0
0.585365854,2,2,2,0,0,0.846740051,0,0,0,1,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.195121951,2,2,2,0,0,0.846740051,0,0,0,1,0
0.12195122,2,0,2,0,0,0.846740051,0,0,0,0,0
0.195121951,2,2,2,0,0,0.846740051,0,0,0,1,0
1,2,1,2,0.1,1,0.846740051,1,0,1,1,1
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.341463415,2,2,2,0.1,1,0.846740051,0,0,1,1,1
0.219512195,2,2,2,0,0,0.846740051,0,0,0,1,0
0.097560976,2,0,2,0,0,0.846740051,0,0,0,0,0
0.170731707,2,2,2,0,0,0.846740051,0,0,0,1,0
0.390243902,2,0,2,0,0,0.846740051,0,0,0,0,0
0.414634146,2,2,2,0,0,0.846740051,0,0,0,1,0
0.365853659,2,2,2,0,0,0.846740051,0,0,0,1,0
0.756097561,2,2,2,0.3,3,0.846740051,0,1,1,1,1
0.097560976,1,0,2,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.12195122,2,0,2,0,0,0.846740051,0,0,0,0,0
0.414634146,2,0,2,0,0,0.846740051,0,0,0,0,0
0.243902439,2,0,2,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
1,2,1,2,0.1,1,0.846740051,1,0,1,1,1
0.707317073,2,1,2,0.2,2,0.846740051,0,1,1,1,1
0.414634146,2,2,2,0,0,0.846740051,0,0,0,1,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
1,2,2,2,0,0,0.846740051,1,0,0,1,0
0.219512195,2,2,2,0,0,0.846740051,0,0,0,1,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.902439024,2,0,2,0,0,0.846740051,0,0,0,0,0
0.170731707,2,0,2,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.12195122,2,2,2,0,0,0.846740051,0,0,0,1,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.951219512,2,1,2,0.3,3,0.846740051,0,1,1,1,1
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.292682927,2,2,2,0,0,0.846740051,0,0,0,1,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.024390244,2,2,1,0.2,2,0.846740051,0,1,1,1,1
1,2,2,2,0.3,3,0.846740051,1,1,1,1,1
0.219512195,2,2,2,0.1,1,0.846740051,0,0,1,1,1
0.463414634,2,2,2,0,0,0.846740051,0,0,0,1,0
0.682926829,2,2,2,0,0,0.846740051,0,0,0,1,0
0.658536585,2,1,1,0,0,0.846740051,0,0,0,0,0
0.731707317,2,1,2,0.1,1,0.846740051,0,0,1,1,1
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.804878049,2,1,1,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
1,2,2,1,0,0,0.846740051,1,0,0,1,0
0.585365854,2,2,2,0,0,0.846740051,0,0,0,1,0
0.536585366,2,1,2,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.487804878,2,2,2,0,0,0.846740051,0,0,0,1,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.780487805,2,2,2,0,0,0.846740051,0,0,0,1,0
0.463414634,2,1,2,0,0,0.846740051,0,0,0,0,0
1,2,2,1,0.2,2,0.846740051,1,1,1,1,1
0.658536585,2,1,2,0.4,4,0.846740051,0,1,1,1,1
0.926829268,2,1,2,0,0,0.846740051,0,0,0,0,0
0.902439024,2,0,2,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.536585366,2,2,2,0,0,0.846740051,0,0,0,1,0
1,2,2,1,0,0,0.846740051,1,0,0,1,0
1,2,1,2,0,0,0.846740051,1,0,0,0,0
0.951219512,2,1,2,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.536585366,2,1,2,0.2,2,0.846740051,0,1,1,1,1
0.585365854,2,0,2,0.2,2,0.846740051,0,1,1,1,1
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.195121951,2,1,2,0,0,0.846740051,0,0,0,0,0
0.951219512,2,1,2,0.1,1,0.846740051,0,0,1,1,1
0,0,0,0,0,0,0.846740051,0,0,0,0,0
0.219512195,2,1,2,0.1,1,0.846740051,0,0,1,1,1
0,0,0,0,0,0,0.846740051,0,0,0,0,0
