SARPP Regional Price Parities by state,,,,,,,
(Index) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,FIPS,RPP:all
GeoFips,GeoName,LineCode,Description,2018,,1,86.4
0,United States,1,RPPs: All items,100,,2,104.8
0,United States,2,  RPPs: Goods,99.3,,4,96.5
0,United States,3,  RPPs: Services: Rents,101.4,,5,85.3
0,United States,4,  RPPs: Services: Other,100,,6,115.4
1000,Alabama,1,RPPs: All items,86.4,,8,101.9
1000,Alabama,2,  RPPs: Goods,96.2,,9,106.1
1000,Alabama,3,  RPPs: Services: Rents,61.8,,10,98.8
1000,Alabama,4,  RPPs: Services: Other,91.7,,11,116.1
2000,Alaska,1,RPPs: All items,104.8,,12,100.6
2000,Alaska,2,  RPPs: Goods,101.9,,13,93
2000,Alaska,3,  RPPs: Services: Rents,125.9,,15,118.1
2000,Alaska,4,  RPPs: Services: Other,97.3,,16,92.5
4000,Arizona,1,RPPs: All items,96.5,,17,98.1
4000,Arizona,2,  RPPs: Goods,95.7,,18,89.3
4000,Arizona,3,  RPPs: Services: Rents,94.3,,19,89.2
4000,Arizona,4,  RPPs: Services: Other,99.1,,20,90
5000,Arkansas,1,RPPs: All items,85.3,,21,87.8
5000,Arkansas,2,  RPPs: Goods,95,,22,89.1
5000,Arkansas,3,  RPPs: Services: Rents,60.8,,23,100
5000,Arkansas,4,  RPPs: Services: Other,92.5,,24,108.4
6000,California,1,RPPs: All items,115.4,,25,109.7
6000,California,2,  RPPs: Goods,103.8,,26,92.4
6000,California,3,  RPPs: Services: Rents,152.5,,27,97.5
6000,California,4,  RPPs: Services: Other,107.4,,28,86
8000,Colorado,1,RPPs: All items,101.9,,29,88.8
8000,Colorado,2,  RPPs: Goods,98,,30,93.3
8000,Colorado,3,  RPPs: Services: Rents,120.7,,31,89.5
8000,Colorado,4,  RPPs: Services: Other,96.5,,32,97.5
9000,Connecticut,1,RPPs: All items,106.1,,33,106
9000,Connecticut,2,  RPPs: Goods,103,,34,115.2
9000,Connecticut,3,  RPPs: Services: Rents,109.4,,35,91.1
9000,Connecticut,4,  RPPs: Services: Other,107.2,,36,116.4
10000,Delaware,1,RPPs: All items,98.8,,37,91.8
10000,Delaware,2,  RPPs: Goods,98.8,,38,90.6
10000,Delaware,3,  RPPs: Services: Rents,92.3,,39,88.4
