Housing Income,Normalized,Eq
41,1,0.706896552
26,0.634146341,0.604651163
17,0.414634146,0.5
4,0.097560976,0.19047619
24,0.585365854,0.585365854
0,0,0
8,0.195121951,0.32
5,0.12195122,0.227272727
8,0.195121951,0.32
41,1,0.706896552
0,0,0
14,0.341463415,0.451612903
9,0.219512195,0.346153846
4,0.097560976,0.19047619
7,0.170731707,0.291666667
16,0.390243902,0.484848485
17,0.414634146,0.5
15,0.365853659,0.46875
31,0.756097561,0.645833333
4,0.097560976,0.19047619
0,0,0
5,0.12195122,0.227272727
17,0.414634146,0.5
10,0.243902439,0.37037037
0,0,0
0,0,0
0,0,0
41,1,0.706896552
29,0.707317073,0.630434783
17,0.414634146,0.5
0,0,0
41,1,0.706896552
9,0.219512195,0.346153846
0,0,0
0,0,0
0,0,0
37,0.902439024,0.685185185
7,0.170731707,0.291666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5,0.12195122,0.227272727
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
39,0.951219512,0.696428571
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
12,0.292682927,0.413793103
0,0,0
1,0.024390244,0.055555556
41,1,0.706896552
9,0.219512195,0.346153846
19,0.463414634,0.527777778
28,0.682926829,0.622222222
27,0.658536585,0.613636364
30,0.731707317,0.638297872
0,0,0
0,0,0
0,0,0
0,0,0
33,0.804878049,0.66
0,0,0
0,0,0
41,1,0.706896552
24,0.585365854,0.585365854
22,0.536585366,0.564102564
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
20,0.487804878,0.540540541
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
32,0.780487805,0.653061224
19,0.463414634,0.527777778
41,1,0.706896552
27,0.658536585,0.613636364
38,0.926829268,0.690909091
37,0.902439024,0.685185185
0,0,0
22,0.536585366,0.564102564
41,1,0.706896552
41,1,0.706896552
39,0.951219512,0.696428571
0,0,0
0,0,0
22,0.536585366,0.564102564
24,0.585365854,0.585365854
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8,0.195121951,0.32
39,0.951219512,0.696428571
0,0,0
9,0.219512195,0.346153846
0,0,0
6,0.146341463,0.260869565
41,1,0.706896552
0,0,0
41,1,0.706896552
41,1,0.706896552
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
41,1,0.706896552
0,0,0
23,0.56097561,0.575
0,0,0
17,0.414634146,0.5
0,0,0
11,0.268292683,0.392857143
0,0,0
0,0,0
0,0,0
11,0.268292683,0.392857143
20,0.487804878,0.540540541
0,0,0
0,0,0
0,0,0
0,0,0
20,0.487804878,0.540540541
0,0,0
23,0.56097561,0.575
9,0.219512195,0.346153846
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
35,0.853658537,0.673076923
0,0,0
13,0.317073171,0.433333333
0,0,0
0,0,0
0,0,0
38,0.926829268,0.690909091
0,0,0
0,0,0
5,0.12195122,0.227272727
0,0,0
8,0.195121951,0.32
10,0.243902439,0.37037037
4,0.097560976,0.19047619
41,1,0.706896552
24,0.585365854,0.585365854
0,0,0
4,0.097560976,0.19047619
13,0.317073171,0.433333333
0,0,0
0,0,0
41,1,0.706896552
0,0,0
10,0.243902439,0.37037037
0,0,0
0,0,0
0,0,0
0,0,0
11,0.268292683,0.392857143
0,0,0
0,0,0
11,0.268292683,0.392857143
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
27,0.658536585,0.613636364
11,0.268292683,0.392857143
31,0.756097561,0.645833333
7,0.170731707,0.291666667
15,0.365853659,0.46875
0,0,0
0,0,0
0,0,0
0,0,0
6,0.146341463,0.260869565
22,0.536585366,0.564102564
0,0,0
0,0,0
36,0.87804878,0.679245283
23,0.56097561,0.575
21,0.512195122,0.552631579
0,0,0
0,0,0
0,0,0
0,0,0
41,1,0.706896552
16,0.390243902,0.484848485
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11,0.268292683,0.392857143
29,0.707317073,0.630434783
0,0,0
0,0,0
0,0,0
0,0,0
1,0.024390244,0.055555556
9,0.219512195,0.346153846
0,0,0
0,0,0
0,0,0
1,0.024390244,0.055555556
0,0,0
0,0,0
0,0,0
0,0,0
17,0.414634146,0.5
18,0.43902439,0.514285714
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
35,0.853658537,0.673076923
0,0,0
0,0,0
4,0.097560976,0.19047619
11,0.268292683,0.392857143
31,0.756097561,0.645833333
41,1,0.706896552
13,0.317073171,0.433333333
41,1,0.706896552
24,0.585365854,0.585365854
35,0.853658537,0.673076923
0,0,0
0,0,0
8,0.195121951,0.32
41,1,0.706896552
24,0.585365854,0.585365854
0,0,0
0,0,0
0,0,0
15,0.365853659,0.46875
21,0.512195122,0.552631579
14,0.341463415,0.451612903
41,1,0.706896552
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
31,0.756097561,0.645833333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
41,1,0.706896552
41,1,0.706896552
41,1,0.706896552
41,1,0.706896552
9,0.219512195,0.346153846
7,0.170731707,0.291666667
36,0.87804878,0.679245283
8,0.195121951,0.32
14,0.341463415,0.451612903
41,1,0.706896552
25,0.609756098,0.595238095
22,0.536585366,0.564102564
0,0,0
0,0,0
0,0,0
1,0.024390244,0.055555556
0,0,0
28,0.682926829,0.622222222
0,0,0
41,1,0.706896552
21,0.512195122,0.552631579
41,1,0.706896552
25,0.609756098,0.595238095
20,0.487804878,0.540540541
25,0.609756098,0.595238095
29,0.707317073,0.630434783
2,0.048780488,0.105263158
26,0.634146341,0.604651163
14,0.341463415,0.451612903
0,0,0
27,0.658536585,0.613636364
0,0,0
40,0.975609756,0.701754386
41,1,0.706896552
17,0.414634146,0.5
0,0,0
41,1,0.706896552
19,0.463414634,0.527777778
41,1,0.706896552
26,0.634146341,0.604651163
30,0.731707317,0.638297872
39,0.951219512,0.696428571
41,1,0.706896552
31,0.756097561,0.645833333
16,0.390243902,0.484848485
4,0.097560976,0.19047619
7,0.170731707,0.291666667
8,0.195121951,0.32
12,0.292682927,0.413793103
41,1,0.706896552
35,0.853658537,0.673076923
0,0,0
13,0.317073171,0.433333333
29,0.707317073,0.630434783
0,0,0
0,0,0
10,0.243902439,0.37037037
28,0.682926829,0.622222222
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
18,0.43902439,0.514285714
34,0.829268293,0.666666667
32,0.780487805,0.653061224
37,0.902439024,0.685185185
41,1,0.706896552
39,0.951219512,0.696428571
0,0,0
31,0.756097561,0.645833333
0,0,0
27,0.658536585,0.613636364
0,0,0
21,0.512195122,0.552631579
18,0.43902439,0.514285714
32,0.780487805,0.653061224
41,1,0.706896552
17,0.414634146,0.5
41,1,0.706896552
0,0,0
25,0.609756098,0.595238095
0,0,0
21,0.512195122,0.552631579
7,0.170731707,0.291666667
15,0.365853659,0.46875
39,0.951219512,0.696428571
41,1,0.706896552
0,0,0
40,0.975609756,0.701754386
41,1,0.706896552
28,0.682926829,0.622222222
41,1,0.706896552
27,0.658536585,0.613636364
2,0.048780488,0.105263158
41,1,0.706896552
41,1,0.706896552
0,0,0
16,0.390243902,0.484848485
30,0.731707317,0.638297872
41,1,0.706896552
29,0.707317073,0.630434783
8,0.195121951,0.32
20,0.487804878,0.540540541
1,0.024390244,0.055555556
0,0,0
41,1,0.706896552
13,0.317073171,0.433333333
0,0,0
41,1,0.706896552
39,0.951219512,0.696428571
17,0.414634146,0.5
18,0.43902439,0.514285714
0,0,0
0,0,0
5,0.12195122,0.227272727
0,0,0
41,1,0.706896552
31,0.756097561,0.645833333
11,0.268292683,0.392857143
25,0.609756098,0.595238095
34,0.829268293,0.666666667
41,1,0.706896552
18,0.43902439,0.514285714
41,1,0.706896552
41,1,0.706896552
18,0.43902439,0.514285714
33,0.804878049,0.66
26,0.634146341,0.604651163
28,0.682926829,0.622222222
12,0.292682927,0.413793103
18,0.43902439,0.514285714
41,1,0.706896552
0,0,0
25,0.609756098,0.595238095
0,0,0
0,0,0
0,0,0
41,1,0.706896552
0,0,0
0,0,0
41,1,0.706896552
41,1,0.706896552
0,0,0
0,0,0
1,0.024390244,0.055555556
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
37,0.902439024,0.685185185
0,0,0
0,0,0
41,1,0.706896552
8,0.195121951,0.32
41,1,0.706896552
