HHINC,FINC_FIN,HPRES_MORT,HDIV_YN,FOWNU18,HINT_YN,RPP
20,2,2,2,0,1,100
0,2,0,0,0,0,100
0,2,0,0,0,0,100
41,2,1,1,0,1,100
18,2,0,2,1,1,100
0,2,0,0,2,0,100
18,2,0,2,3,2,100
0,2,0,0,0,0,100
0,2,0,0,0,0,100
41,2,1,1,0,1,106
11,2,2,2,1,1,106
35,2,1,2,0,2,106
41,2,1,2,1,1,106
29,2,0,2,1,2,106
34,2,1,1,0,1,106
0,2,0,0,0,0,106
32,2,1,2,0,1,106
0,2,0,0,3,0,106
31,1,1,1,1,1,106
41,2,2,1,0,1,106
41,2,1,2,0,1,106
0,2,0,0,0,0,106
28,2,1,1,0,1,106
41,2,1,2,0,1,103
0,2,0,0,2,0,103
21,2,0,2,0,1,103
0,2,0,0,1,0,103
41,2,1,1,0,1,103
41,2,1,1,0,1,103
16,2,2,2,1,1,103
0,2,0,0,0,0,103
0,2,0,0,0,0,103
34,2,1,2,0,1,103
41,2,1,1,0,1,103
0,2,0,0,0,0,103
0,2,0,0,1,0,103
16,2,2,2,0,2,103
0,2,0,0,0,0,109.7
28,2,2,2,1,1,109.7
0,2,0,0,0,0,109.7
0,2,0,0,0,0,109.7
26,2,1,2,0,1,109.7
41,2,0,2,0,1,109.7
41,2,1,2,2,1,109.7
0,2,0,0,0,0,109.7
41,2,1,1,1,1,109.7
30,2,2,2,0,1,109.7
0,2,0,0,1,0,109.7
41,2,2,2,0,1,109.7
12,2,0,2,1,1,109.7
0,2,0,0,0,0,109.7
41,2,0,2,0,2,109.7
0,2,0,0,0,0,109.7
1,2,0,2,0,2,109.7
9,2,0,2,0,2,109.7
11,2,0,2,0,2,109.7
37,2,2,2,1,1,109.7
40,2,1,2,0,1,109.7
0,2,0,0,0,0,99.3
0,2,0,0,0,0,99.3
0,2,0,0,0,0,99.3
41,2,1,2,0,1,99.3
41,2,1,2,0,1,99.3
0,2,0,0,0,0,99.3
0,2,0,0,0,0,99.3
41,2,1,2,0,1,99.3
0,2,0,0,0,0,99.3
0,2,0,0,0,0,106.1
1,2,1,2,2,1,106.1
0,2,0,0,0,0,106.1
11,2,0,2,0,1,106.1
18,2,0,2,0,2,106.1
0,2,0,0,0,0,106.1
41,2,1,1,2,1,106.1
2,2,2,2,0,1,106.1
41,2,1,2,1,1,106.1
8,2,0,2,1,2,106.1
18,2,1,2,0,1,116.4
0,2,0,0,2,0,116.4
0,2,0,0,0,0,116.4
0,2,0,0,0,0,116.4
0,2,0,0,0,0,116.4
0,2,0,0,0,0,116.4
27,2,2,2,0,2,116.4
41,2,0,2,1,1,116.4
9,2,2,2,0,1,116.4
15,2,0,2,0,2,116.4
0,2,0,0,0,0,116.4
7,2,0,2,0,2,116.4
41,2,1,2,0,1,116.4
17,2,0,2,2,2,116.4
41,2,0,1,0,1,116.4
32,2,0,2,0,1,116.4
41,2,0,2,4,1,116.4
1,2,0,2,0,2,116.4
25,2,2,2,1,2,116.4
34,2,1,2,5,2,116.4
41,2,2,1,4,1,116.4
41,2,0,2,1,1,116.4
41,2,0,2,2,1,116.4
0,2,0,0,2,0,116.4
6,2,0,2,0,2,116.4
15,2,1,2,1,2,116.4
20,2,0,2,0,2,116.4
0,2,0,0,0,0,116.4
0,2,0,0,0,0,116.4
0,2,0,0,0,0,116.4
27,2,2,2,0,1,116.4
41,2,1,2,2,1,116.4
20,2,1,2,0,1,116.4
35,2,0,2,3,1,116.4
11,2,0,2,0,1,116.4
10,2,2,2,1,1,116.4
0,2,0,0,0,0,116.4
41,2,1,1,0,1,116.4
15,2,0,2,0,1,116.4
0,2,0,0,2,0,116.4
21,2,2,2,0,1,116.4
28,2,0,1,2,1,116.4
0,2,0,0,0,0,115.2
41,2,1,1,0,1,115.2
0,2,0,0,0,0,115.2
12,2,2,2,0,1,115.2
0,2,0,0,0,0,115.2
1,2,0,2,0,2,115.2
0,2,0,0,1,0,115.2
41,2,0,2,0,1,115.2
0,2,0,0,1,0,115.2
26,2,2,2,0,1,115.2
0,2,0,0,0,0,115.2
0,2,0,0,0,0,115.2
41,2,1,2,0,2,115.2
11,2,2,2,0,2,115.2
41,2,1,1,0,1,115.2
36,2,2,2,1,2,115.2
15,2,0,2,2,2,115.2
41,2,1,2,0,1,115.2
0,2,0,0,3,0,115.2
0,2,0,0,0,0,115.2
0,2,0,0,2,0,115.2
11,2,0,2,1,1,97.5
0,2,0,0,0,0,97.5
0,2,0,0,0,0,97.5
30,2,2,2,0,1,97.5
0,2,0,0,0,0,97.5
41,2,2,2,0,1,97.5
41,2,1,2,2,1,97.5
41,2,1,2,0,1,97.5
41,2,2,2,0,1,97.5
0,2,0,0,1,0,97.5
41,2,2,1,3,1,97.5
41,2,1,2,1,1,97.5
41,2,0,2,3,1,97.5
0,2,0,0,0,0,97.5
32,2,2,2,0,2,97.5
41,2,0,2,0,2,97.5
0,2,0,0,0,0,97.5
2,2,1,2,0,2,97.5
9,2,0,2,0,1,97.5
0,2,0,0,0,0,97.5
4,2,0,2,0,2,97.5
19,2,2,1,2,1,97.5
0,2,0,0,0,0,97.5
41,2,2,1,0,2,97.5
17,2,0,2,2,1,97.5
39,2,2,1,0,1,97.5
23,2,2,2,1,2,88.4
0,2,0,0,0,0,88.4
30,2,1,2,0,1,88.4
0,2,0,0,0,0,88.4
19,2,2,1,2,1,88.4
0,2,0,0,0,0,88.4
12,2,0,2,2,2,88.4
22,2,2,2,3,2,88.4
41,2,1,2,1,1,88.4
8,2,0,2,2,1,88.4
11,2,0,2,0,2,88.4
41,2,1,2,0,1,88.4
23,2,0,2,1,1,88.4
28,2,1,1,2,1,88.4
15,2,0,2,0,2,88.4
33,2,1,2,0,1,88.4
21,2,2,1,0,1,88.4
20,2,2,1,0,1,88.4
40,2,2,2,0,1,88.4
11,2,0,2,2,1,88.4
41,2,2,1,2,1,88.4
1,2,2,2,0,1,88.4
41,2,1,1,0,1,88.4
0,2,0,0,0,0,88.4
18,2,0,2,0,2,89.3
41,2,1,1,1,1,89.3
41,2,1,2,0,1,89.3
0,2,0,0,1,0,89.3
29,2,0,2,0,2,89.3
0,2,0,0,0,0,89.3
41,2,2,1,0,1,89.3
41,2,1,1,0,1,89.3
41,2,2,1,0,1,89.3
0,2,0,0,0,0,89.3
7,2,2,2,0,1,89.3
24,2,0,2,1,2,89.3
15,2,0,2,0,2,89.3
36,2,1,2,0,1,89.3
19,2,1,2,0,1,89.3
2,2,0,2,0,2,89.3
0,2,0,0,0,0,98.1
37,2,1,2,0,1,98.1
14,2,1,2,0,1,98.1
0,2,0,0,3,0,98.1
10,2,0,2,2,2,98.1
41,2,0,2,3,1,98.1
25,2,0,1,0,1,98.1
22,2,0,2,2,1,98.1
16,2,0,2,0,2,98.1
0,2,0,0,3,0,98.1
0,2,0,0,2,0,98.1
0,2,0,0,0,0,98.1
0,1,0,0,0,0,98.1
13,2,0,2,0,2,98.1
41,2,1,2,0,2,98.1
31,2,0,2,1,1,98.1
0,2,0,0,3,0,98.1
41,2,1,1,0,1,98.1
29,2,0,2,1,1,98.1
20,2,1,2,0,1,98.1
41,2,1,1,0,1,98.1
27,2,0,2,0,1,98.1
0,2,0,0,0,0,98.1
0,2,0,0,0,0,98.1
33,1,0,2,0,2,98.1
0,2,0,0,2,0,98.1
0,2,0,0,0,0,98.1
19,2,1,2,0,1,92.4
41,2,1,2,0,2,92.4
26,2,0,2,0,2,92.4
41,2,1,2,0,1,92.4
0,2,0,0,0,0,92.4
36,2,1,2,0,1,92.4
0,2,0,0,0,0,92.4
41,2,2,2,0,1,92.4
38,2,1,1,0,1,92.4
41,2,0,1,4,1,92.4
9,2,2,2,2,1,92.4
0,2,0,0,1,0,92.4
39,2,2,2,0,1,92.4
9,2,2,2,3,1,92.4
6,2,1,2,0,1,92.4
41,2,1,2,0,1,92.4
0,2,0,0,2,0,92.4
41,2,1,2,0,1,92.4
19,2,0,2,0,1,92.4
41,2,1,2,1,1,92.4
0,2,0,0,0,0,92.4
0,2,0,0,2,0,92.4
0,2,0,0,0,0,91.9
14,2,0,2,2,1,91.9
26,2,2,2,0,1,91.9
39,2,1,1,0,1,91.9
41,2,1,2,1,1,91.9
41,2,2,1,0,1,91.9
29,2,0,1,0,2,91.9
41,2,1,1,0,1,91.9
3,2,2,2,0,1,91.9
41,2,2,2,0,1,91.9
28,2,2,2,0,1,91.9
41,2,1,2,0,1,91.9
41,2,0,2,0,2,91.9
20,2,2,1,0,1,97.5
0,2,0,0,2,0,97.5
0,2,0,0,0,0,97.5
27,2,0,2,0,1,97.5
41,2,1,2,0,1,97.5
41,2,1,1,0,1,97.5
33,2,2,2,0,1,97.5
0,2,0,0,0,0,97.5
14,2,0,2,2,1,97.5
39,2,0,2,2,1,97.5
41,2,1,2,0,1,97.5
13,2,1,2,0,1,97.5
36,2,2,1,0,1,89.2
28,2,0,2,0,1,89.2
30,2,2,2,0,2,89.2
0,2,0,0,0,0,89.2
11,2,2,2,0,1,89.2
23,2,2,1,0,1,89.2
0,2,0,0,1,0,89.2
41,2,1,1,0,1,89.2
7,2,0,2,0,1,89.2
25,2,2,1,0,1,89.2
13,2,2,2,0,2,89.2
34,2,1,2,0,1,88.8
0,2,0,0,0,0,88.8
0,2,0,0,0,0,88.8
30,2,1,2,0,1,88.8
41,2,1,2,0,1,88.8
0,2,0,0,0,0,88.8
0,2,0,0,0,0,88.8
0,2,0,0,0,0,88.8
41,2,2,2,1,1,88.8
28,2,0,1,0,1,88.8
41,2,0,1,0,1,88.8
13,2,2,2,0,1,88.8
7,2,2,2,1,2,88.8
41,2,1,1,0,1,88.8
37,2,1,2,0,1,90.6
23,2,2,1,0,1,90.6
11,2,0,2,0,2,90.6
5,2,0,2,0,1,90.6
0,2,0,0,2,0,90.6
20,2,0,1,0,1,90.6
0,2,0,0,0,0,90.6
19,2,0,2,2,1,90.6
29,2,2,1,0,1,90.6
0,2,0,0,0,0,90.6
0,2,0,0,2,0,90.6
24,2,1,2,2,1,90.6
41,2,2,2,1,2,90.6
5,2,0,2,0,2,90.6
25,2,0,2,0,1,90.6
41,2,2,2,1,1,87.9
0,2,0,0,1,0,87.9
25,2,0,2,0,2,87.9
41,2,1,2,3,1,87.9
37,2,1,2,0,1,87.9
40,2,1,2,0,1,87.9
0,2,0,0,0,0,87.9
40,2,2,2,0,1,87.9
0,2,0,0,0,0,87.9
41,2,2,2,1,1,87.9
41,2,2,2,0,1,89.5
41,2,2,2,0,1,89.5
41,2,1,2,0,1,89.5
23,2,1,2,1,2,89.5
22,2,2,2,0,1,89.5
12,2,0,2,0,1,89.5
41,2,1,1,0,1,89.5
35,2,0,1,0,1,89.5
0,2,0,0,0,0,89.5
8,2,0,2,0,2,89.5
0,2,0,0,0,0,89.5
14,2,2,2,0,1,89.5
0,2,0,0,0,0,89.5
4,2,2,2,0,1,90
0,2,0,0,3,0,90
41,2,1,2,0,1,90
0,2,0,0,0,0,90
31,2,2,2,2,1,90
0,2,0,0,0,0,90
0,2,0,0,0,0,90
19,2,2,2,0,1,90
30,2,1,1,0,1,90
0,2,0,0,3,0,90
41,2,2,2,0,1,90
0,2,0,0,0,0,90
5,2,2,2,0,2,98.8
0,2,0,0,2,0,98.8
0,2,0,0,0,0,98.8
41,2,1,1,0,1,98.8
41,2,1,1,0,1,98.8
0,2,0,0,1,0,98.8
0,2,0,0,0,0,98.8
41,2,1,1,0,1,98.8
0,2,0,0,2,0,98.8
0,2,0,0,0,0,98.8
41,2,2,2,2,1,98.8
0,2,0,0,0,0,98.8
4,2,0,2,0,2,108.4
41,2,0,1,0,1,108.4
